month,data
0,28.131160736083984
1,22.92080307006836
2,25.249412536621094
3,24.395875930786133
4,30.9199275970459
5,45.025108337402344
6,54.6108283996582
7,52.90974807739258
8,46.733211517333984
9,40.91476821899414
10,36.40774154663086
11,31.389331817626953
